uw7ve5	Tier recall	Name the tier-1 QB.
l7byoa	Tier recall	Name the tier-2 QBs.
6pvcr3	Who goes earlier?	Josh Allen or Lamar Jackson?
1fl7f18	Tier recall	Name the tier-1 RB.
1o08r9y	Tier recall	Name the tier-2 RB.
l7ixxo	Tier recall	Name the tier-3 RB.
tb0ryb	Tier recall	Name the tier-4 RBs.
1vzw7v9	Boundary	Who is the LAST RB in tier 4?
yg8000	Tier recall	Name the tier-5 RBs.
1f3o6t0	Boundary	Who is the LAST RB in tier 5?
r5yb2y	Tier recall	Name the tier-6 RBs.
1nqvu6c	Tier recall	Name the tier-7 RBs.
1y93tub	Boundary	Who is the LAST RB in tier 7?
13u2ny1	Boundary	Who is the LAST RB in tier 8?
1sbfnvg	Boundary	Who is the LAST RB in tier 10?
1u7veuc	Boundary	Who is the LAST RB in tier 11?
rb0k63	Boundary	Who is the LAST RB in tier 12?
bdlfkz	Who goes earlier?	Jahmyr Gibbs or Bijan Robinson?
123rbw9	Who goes earlier?	Bijan Robinson or Jonathan Taylor?
rnlpmy	Who goes earlier?	Jonathan Taylor or Christian McCaffrey?
1v1rc5w	Who goes earlier?	Derrick Henry or James Cook III?
1gwbgzk	Who goes earlier?	De'Von Achane or Ashton Jeanty?
2d6pri	Who goes earlier?	Cam Skattebo or Travis Etienne Jr.?
l60nax	Who goes earlier?	Bhayshul Tuten or TreVeyon Henderson?
8inrab	Who goes earlier?	Rhamondre Stevenson or Kyle Monangai?
f1cmdl	Who goes earlier?	Aaron Jones Sr. or Blake Corum?
t2rgm0	Tier recall	Name the tier-1 WR.
1jflnha	Tier recall	Name the tier-2 WR.
1xe6ppv	Tier recall	Name the tier-3 WR.
r24cw9	Tier recall	Name the tier-4 WR.
10kmpga	Tier recall	Name the tier-5 WR.
18bn6pt	Tier recall	Name the tier-6 WRs.
esl9hf	Boundary	Who is the LAST WR in tier 6?
3bdc0	Tier recall	Name the tier-7 WRs.
ncs3p6	Boundary	Who is the LAST WR in tier 7?
1aa9jo3	Tier recall	Name the tier-8 WRs.
11e5zk0	Tier recall	Name the tier-9 WRs.
kwq1bd	Boundary	Who is the LAST WR in tier 9?
cwuljr	Boundary	Who is the LAST WR in tier 11?
xje1c1	Who goes earlier?	Puka Nacua or Jaxon Smith-Njigba?
1hd74j0	Who goes earlier?	Jaxon Smith-Njigba or Ja'Marr Chase?
10kolfn	Who goes earlier?	Ja'Marr Chase or Amon-Ra St. Brown?
1sb0yky	Who goes earlier?	Amon-Ra St. Brown or Drake London?
1vxd8l3	Who goes earlier?	Drake London or CeeDee Lamb?
15xuf7b	Who goes earlier?	Rashee Rice or Justin Jefferson?
1f2lwuc	Who goes earlier?	Zay Flowers or Tee Higgins?
de4t68	Who goes earlier?	Alec Pierce or Ladd McConkey?
9bbpav	Who goes earlier?	DK Metcalf or Carnell Tate?
uwjnww	Tier recall	Name the tier-1 TEs.
od1mdo	Boundary	Who is the LAST TE in tier 1?
1mrw8bw	Tier recall	Name the tier-2 TE.
zhf29j	Boundary	Who is the LAST TE in tier 4?
1emc14o	Who goes earlier?	Trey McBride or Colston Loveland?
pgagwi	Who goes earlier?	Colston Loveland or Tucker Kraft?
46rx4h	Who goes earlier?	Jahmyr Gibbs or Ja'Marr Chase?
2a967b	Who goes earlier?	Amon-Ra St. Brown or Ashton Jeanty?
nzvdku	Who goes earlier?	Kenneth Walker III or Drake London?
btbuzy	Who goes earlier?	Nico Collins or Jeremiyah Love?
14lkfta	Who goes earlier?	Travis Etienne Jr. or Zay Flowers?
3die8i	Who goes earlier?	Javonte Williams or Ladd McConkey?
94n1c0	Who goes earlier?	Cam Skattebo or Mike Evans?
x86z32	Who goes earlier?	David Montgomery or Lamar Jackson?
1t9prh8	Who goes earlier?	Bhayshul Tuten or Christian Watson?
32vth1	Who goes earlier?	Tyler Warren or Jayden Daniels?
1bbtfcp	Who goes earlier?	Jalen Hurts or Makai Lemon?
rig5vs	Who goes earlier?	Quentin Johnston or Dak Prescott?
1bzyq38	Who goes earlier?	RJ Harvey or Jordan Addison?
wll4yb	Who goes earlier?	Sam LaPorta or Jaxson Dart?
6hn1ry	Hook recall	What's the hook on Jahmyr Gibbs?
1svm954	Hook recall	What's the hook on Bijan Robinson?
1j5sawd	Hook recall	What's the hook on Ja'Marr Chase?
1bp1wpi	Hook recall	What's the hook on Puka Nacua?
1ezw5jg	Hook recall	What's the hook on Jaxon Smith-Njigba?
8q0ufv	Hook recall	What's the hook on Amon-Ra St. Brown?
f3qrj	Hook recall	What's the hook on Christian McCaffrey?
ri7qkk	Hook recall	What's the hook on CeeDee Lamb?
1ee8jyc	Hook recall	What's the hook on James Cook III?
t48k5h	Hook recall	What's the hook on Justin Jefferson?
1vpc7r9	Hook recall	What's the hook on Derrick Henry?
qy37di	Hook recall	What's the hook on A.J. Brown?
rkzncb	Hook recall	What's the hook on Drake London?
1as696x	Hook recall	What's the hook on Brock Bowers?
1yqfrw0	Hook recall	What's the hook on Ashton Jeanty?
axdoka	Hook recall	What's the hook on Saquon Barkley?
i7krz5	Hook recall	What's the hook on George Pickens?
1scrjmi	Hook recall	What's the hook on Trey McBride?
82bztu	Hook recall	What's the hook on De'Von Achane?
1elr6ty	Hook recall	What's the hook on Josh Allen?
1xtku6c	Hook recall	What's the hook on Chase Brown?
seeyzo	Hook recall	What's the hook on Rashee Rice?
ls2bao	Hook recall	What's the hook on Tee Higgins?
9y61qe	Hook recall	What's the hook on Lamar Jackson?
133meu9	Hook recall	What's the hook on Drake Maye?
9287xw	Hook recall	What's the hook on Tetairoa McMillan?
ul06hw	Hook recall	What's the hook on Colston Loveland?
9v7i6j	Hook recall	What's the hook on Joe Burrow?
1xh772l	Hook recall	What's the hook on Breece Hall?
1nlvsta	Hook recall	What's the hook on Jeremiyah Love?
5v2bfu	Hook recall	What's the hook on Davante Adams?
1rgmpv4	Hook recall	What's the hook on Jameson Williams?
bltjip	Hook recall	What's the hook on Travis Etienne Jr.?
1vcbgxk	Hook recall	What's the hook on Christian Watson?
1d9l7ir	Hook recall	What's the hook on Garrett Wilson?
cc9u1l	Hook recall	What's the hook on Jayden Daniels?
1x8h2m1	Hook recall	What's the hook on Cam Skattebo?
1e6al3g	Hook recall	What's the hook on Luther Burden III?
vxdm0i	Hook recall	What's the hook on Mike Evans?
1dk11c8	Hook recall	What's the hook on Jalen Hurts?
v5olwb	Hook recall	What's the hook on D'Andre Swift?
1ozrg0d	Hook recall	What's the hook on Rome Odunze?
1lk7gm6	Hook recall	What's the hook on Tucker Kraft?
1ftnf6a	Hook recall	What's the hook on TreVeyon Henderson?
1jwipel	Hook recall	What's the hook on DJ Moore?
15u6nue	Hook recall	What's the hook on Tyler Warren?
4w9lo7	Hook recall	What's the hook on Bhayshul Tuten?
1omhzmx	Hook recall	What's the hook on Jadarian Price?
1jeokvp	Hook recall	What's the hook on Marvin Harrison Jr.?
1grmvlt	Hook recall	What's the hook on Alec Pierce?
183z663	Hook recall	What's the hook on Trevor Lawrence?
1ixjv7t	Hook recall	What's the hook on Jaylen Warren?
1ircvc7	Hook recall	What's the hook on DK Metcalf?
18ejoz7	Hook recall	What's the hook on Carnell Tate?
1xg0qzj	Hook recall	What's the hook on Brian Thomas Jr.?
i5bpu	Hook recall	What's the hook on Dak Prescott?
iv52qm	Hook recall	What's the hook on Chuba Hubbard?
9e2wjj	Hook recall	What's the hook on Rhamondre Stevenson?
2c7on7	Hook recall	What's the hook on Rico Dowdle?
4hidn7	Hook recall	What's the hook on Sam LaPorta?
m8hacn	Hook recall	What's the hook on Harold Fannin Jr.?
5de7h1	Hook recall	What's the hook on Kyle Pitts Sr.?
86heiu	Hook recall	What's the hook on Blake Corum?
1qiz4s1	Hook recall	What's the hook on J.K. Dobbins?
f6t8ow	Hook recall	What's the hook on Kyle Monangai?
2gkqfw	Hook recall	What's the hook on Parker Washington?
1d8dg1c	Hook recall	What's the hook on Jaxson Dart?
el56e7	Hook recall	What's the hook on Jordyn Tyson?
15pmo90	Hook recall	What's the hook on RJ Harvey?
tr3qk0	Hook recall	What's the hook on Jordan Addison?
1xf1u54	Hook recall	What's the hook on Makai Lemon?
1r8wjab	Hook recall	What's the hook on George Kittle?
5b870j	Plan recall	Your pick 1.01: what's the plan?
1nd4rhu	Plan recall	Your pick 2.14: what's the plan?
hji22j	Plan recall	Your pick 3.01: what's the plan?
15yv49v	Plan recall	Your pick 4.14: what's the plan?
